,Row,Col,Sym,Diag
79,"(0.3674541302048361, 0.34371413225786296)","(0.3256356862196863, 0.3245366011344072)","(0.3587771899794978, 0.3311978621475091)","(0.3655170732836097, 0.35238796752973917)"
80,"(0.33868246785974987, 0.32113173627034286)","(0.3429492176363349, 0.34194302290388645)","(0.32638272020494874, 0.31725687737173236)","(0.33981100198408676, 0.32332958519611876)"
81,"(0.4238686000109876, 0.4198268695515118)","(0.35198784209076184, 0.35123743082271885)","(0.4140312613385435, 0.4107335852241065)","(0.3872677716073337, 0.38546815769720166)"
82,"(0.438868716414624, 0.43574589935191)","(0.3626238087196215, 0.36065222787495066)","(0.4350257856683972, 0.4305849938243178)","(0.36932641571978453, 0.3478282022334481)"
83,"(0.36855899206247944, 0.3643714964404374)","(0.3718238894251714, 0.37098562031161364)","(0.36543648956344, 0.3590180390036971)","(0.3370242504840838, 0.33597782134736065)"
84,"(0.3710755784746034, 0.3679523870560839)","(0.3464723417419828, 0.34517837776379745)","(0.34303725721045364, 0.341545982804201)","(0.3602113192185502, 0.35880724313496964)"
85,"(0.39740693909969516, 0.3917471967975462)","(0.27216020428963195, 0.27056235151843067)","(0.3935047234221464, 0.3878452542088885)","(0.39712446572321736, 0.3918015843303956)"
86,"(0.4109163537602414, 0.4083057064636709)","(0.43157855740343865, 0.42795838415518594)","(0.3993233111657576, 0.39227857738159244)","(0.38113532004031536, 0.38000302413011605)"
87,"(0.3658524072465681, 0.36368330218514133)","(0.3662977767794642, 0.3651705582460867)","(0.32379433828501225, 0.3225540219823887)","(0.32978891578605807, 0.3279439333490301)"
88,"(0.4036640735246845, 0.40094632067076563)","(0.3569416464870083, 0.3562668652493458)","(0.3836448046822727, 0.3799436573963446)","(0.37109171518183437, 0.36762202835701047)"
89,"(0.39317377522337604, 0.39009642887173257)","(0.34746666011045135, 0.3467030442315304)","(0.3857615997894993, 0.3827803863807122)","(0.3971935887389314, 0.3955771170817461)"
90,"(0.38351829109738, 0.37441699220778035)","(0.3257563984084013, 0.32388794797229925)","(0.37549768514403903, 0.3651766240631481)","(0.3809609181913305, 0.3755452759774971)"
91,"(0.39772508442079657, 0.3952656873866305)","(0.2823407736534106, 0.2807807346058073)","(0.39199831899168924, 0.39093827422982974)","(0.39853354838395183, 0.3967509127074176)"
92,"(0.391375185912052, 0.3890284503424355)","(0.3384537318155191, 0.3355147537906511)","(0.3654480098170486, 0.3622585360530589)","(0.3158993088181382, 0.3086980390527372)"
