,Row,Col,Sym,Diag
104,"(0.36793339729481356, 0.36513689828273943)","(0.31439225506064183, 0.31350633826063024)","(0.3563046105988683, 0.3546681582100638)","(0.369448957566754, 0.3689020901829484)"
105,"(0.33114934430983145, 0.3294189758883699)","(0.31865365579491034, 0.3182332643572655)","(0.32163497043119005, 0.31924122124527554)","(0.33556410406043213, 0.3352417957900856)"
106,"(0.40303840069371133, 0.39803846488904737)","(0.3160041926421424, 0.3152573959528808)","(0.3865919348983703, 0.38514242278350785)","(0.39598449092037113, 0.3956934981530107)"
107,"(0.4596867962872324, 0.45622979448872447)","(0.4192700583343545, 0.41863938958937874)","(0.4514770799593293, 0.44820819014201485)","(0.36203296203389157, 0.36140543255100943)"
108,"(0.3773501199098769, 0.3756593067133316)","(0.29458934586745067, 0.2930109666247619)","(0.36619526012165793, 0.36468787598071795)","(0.37411811882288404, 0.3736550260990832)"
109,"(0.4385874792844945, 0.43419956250543257)","(0.26087799911432374, 0.26039834480413415)","(0.43217108350474853, 0.4272277450120826)","(0.44038834943218574, 0.4373086135138053)"
110,"(0.4245822527539509, 0.42076828513482967)","(0.3048800702549831, 0.30242823851026)","(0.41506637893272214, 0.40895575746045487)","(0.42647120118443993, 0.4240084182564636)"
111,"(0.4138099881608859, 0.4112520550843348)","(0.3251009795892823, 0.3237390794113696)","(0.4099115054799587, 0.4066613218755072)","(0.4185333286983247, 0.41729633341852346)"
112,"(0.4646756015785357, 0.46167221709574546)","(0.3352714345430744, 0.3346169876645806)","(0.45737260521660084, 0.4546640114997025)","(0.4620505008773693, 0.4606107341832962)"
113,"(0.43507023090949426, 0.43234818920896423)","(0.2828090605764697, 0.2813760354225959)","(0.4258069959866996, 0.4218482849531463)","(0.39456526175852213, 0.3920914618560157)"
114,"(0.41465909882409013, 0.41305969252162456)","(0.31743502606848295, 0.3150639553068355)","(0.40947081407889807, 0.4075024415306151)","(0.4273954873141482, 0.42611553126245816)"
115,"(0.4103401963555441, 0.4084909264451265)","(0.3387408162927824, 0.3369615402069308)","(0.40654871463123277, 0.40365947602345065)","(0.4205479050470238, 0.4193227478320063)"
116,"(0.40126041533830115, 0.3973292748443116)","(0.31213152765962304, 0.3109698140873379)","(0.37075371455221207, 0.36723728923404486)","(0.3601992665225706, 0.34576317708523185)"
117,"(0.41690135908795856, 0.4132600649403452)","(0.35426666422991837, 0.35349109705205317)","(0.41303290836642803, 0.40838844036604516)","(0.3226482342986632, 0.3199326094474531)"
118,"(0.4058062768166808, 0.40128944010234113)","(0.36083401080999256, 0.36057373584468766)","(0.3951759725392847, 0.3936274367337905)","(0.39866987471129167, 0.39760660437689344)"
119,"(0.388726813430051, 0.38763452804622023)","(0.39600422586275896, 0.39511699218387597)","(0.37624667938891543, 0.3707059680328433)","(0.3808996042182389, 0.37437503090573115)"
120,"(0.38044673726152245, 0.36919268600157473)","(0.35698861465027054, 0.35590489357216304)","(0.3732512170691563, 0.358541140470237)","(0.37747172294598474, 0.3720994759273515)"
121,"(0.4128848729653757, 0.41024155437900767)","(0.3208794356748028, 0.3173571817550108)","(0.4058439346136927, 0.40255114788800583)","(0.4170388744088396, 0.4151375759651978)"
122,"(0.3464751465156791, 0.344006579801883)","(0.36430075689999164, 0.36264316499238314)","(0.34539292643850816, 0.3401592914188073)","(0.30514205338074707, 0.30385894176184464)"
123,"(0.44099329817338095, 0.4378117755138967)","(0.4462438393603052, 0.4460894089701052)","(0.43548172825709675, 0.4339954908736452)","(0.30066815640399924, 0.2899239978747768)"
124,"(0.35531615794496596, 0.3544444649411965)","(0.3701511301745306, 0.36863372316809906)","(0.35498135732207814, 0.3503972433720618)","(0.3272044345512616, 0.31989064257033945)"
125,"(0.44204479372740624, 0.4351277554259976)","(0.3088244813661828, 0.3067888283095288)","(0.4370543207296539, 0.4254727105921646)","(0.4093269064300932, 0.40005832945709996)"
126,"(0.34634063453584696, 0.3439739755229748)","(0.35060025093381353, 0.34958640153335085)","(0.3392833045858785, 0.3354237299270302)","(0.2739049543847004, 0.27353270043621053)"
127,"(0.40395570125385194, 0.40240323501243447)","(0.33217348861339047, 0.3314721652007897)","(0.4001485207895914, 0.3975275731825343)","(0.40433779543320825, 0.4027660195271273)"
128,"(0.35984452044130844, 0.354613635331788)","(0.2841295876100691, 0.28269761179927944)","(0.3563427192352282, 0.3496650321627721)","(0.35882577431139395, 0.3570031197604669)"
129,"(0.41927227491266394, 0.41697630362380333)","(0.3828231208600885, 0.381744336895101)","(0.41090557268680117, 0.4091776464736203)","(0.38869509229493193, 0.3873368915643377)"
130,"(0.347137112707268, 0.33968086036596257)","(0.2936128034492902, 0.292484111198585)","(0.3410392913735206, 0.3293651811314642)","(0.34747623624865065, 0.3420866379606383)"
131,"(0.40215888994345006, 0.39514247383544954)","(0.37775240796406573, 0.3768025384113477)","(0.39869332377755873, 0.3916682186175159)","(0.361927342333183, 0.361363675037102)"
132,"(0.3570949282893203, 0.3538694575174546)","(0.3298728531244586, 0.3282948225789363)","(0.34917619048964665, 0.3427121865675776)","(0.35432954373998005, 0.352136048107959)"
133,"(0.34136646862564257, 0.33986660360098064)","(0.3298858725375652, 0.32952644406847387)","(0.33775457471330583, 0.33716815499342845)","(0.3423873304675439, 0.34211644952372594)"
134,"(0.4038076838928957, 0.4008631763718875)","(0.33202244473051334, 0.33006633465677837)","(0.3882683737265382, 0.38640302258365944)","(0.38919301169619214, 0.3876948368912576)"
135,"(0.36969496409788527, 0.36751230237640087)","(0.30328139007709654, 0.3015436453464938)","(0.35459202610466367, 0.3536766250128188)","(0.3627336021748647, 0.3616493153734672)"
136,"(0.34699843210758585, 0.34572504769928425)","(0.31438585724333146, 0.3136992078223313)","(0.3447359787063544, 0.34360604131454997)","(0.3393552390759227, 0.3387613760621934)"
137,"(0.37019134627026795, 0.3675332134812981)","(0.3175077659746802, 0.31493981334574517)","(0.35475919653254906, 0.34876611003394675)","(0.33755589305941036, 0.3367868155280806)"
138,"(0.33681294016933805, 0.3354291139801945)","(0.33280046079110515, 0.3314125851177676)","(0.3300576138468414, 0.3291401727549198)","(0.3390839292334866, 0.33862119052054834)"
139,"(0.33355891425894857, 0.3312016576983965)","(0.2682692559634945, 0.26708811211689676)","(0.3220464154406142, 0.3199345764000422)","(0.3215407065805742, 0.31490122371289)"
140,"(0.37478814382743686, 0.36977081537841294)","(0.31039038634454774, 0.30992043586385853)","(0.3698147316094488, 0.3658179581126658)","(0.37732696226520435, 0.3754744746763685)"
141,"(0.374454857153922, 0.369114372898942)","(0.25322707249398746, 0.2522535007093014)","(0.3680395800376687, 0.3619851408808713)","(0.3717268847680847, 0.3705128812706103)"
142,"(0.3436187892171264, 0.33964500871179926)","(0.34433206050358645, 0.34389095563797134)","(0.33731008134527307, 0.33419477156206767)","(0.3102991170120939, 0.3056477822186717)"
143,"(0.3330581232038208, 0.331123266950889)","(0.3437515007896298, 0.3417317635653937)","(0.3284726394164157, 0.3249549501434086)","(0.33340611589023317, 0.33050137455899176)"
144,"(0.33969062270126804, 0.33020285550934614)","(0.32334481644869173, 0.32239331120387105)","(0.33215540754196415, 0.32245512990851344)","(0.3365093747405128, 0.3342029651303206)"
145,"(0.4463709421541845, 0.43951978964775273)","(0.34008918576498703, 0.3390249536342471)","(0.43896499432437563, 0.42947101329010307)","(0.44469199095783707, 0.44009781411306326)"
146,"(0.38156662505088657, 0.3797708190834388)","(0.3752945811008145, 0.3745712505225275)","(0.36786875819092624, 0.36488506943588495)","(0.3262209822924842, 0.31353013643227834)"
147,"(0.4168174557462808, 0.4099777864253361)","(0.3749376499300686, 0.37400813355947804)","(0.41277252346557514, 0.4063799017214714)","(0.3127214510993508, 0.31158267889870594)"
