,Row,Col,Sym,Diag
103,"(0.34297620640585813, 0.3399346694916201)","(0.2743822730947372, 0.27387982334253824)","(0.3394300934415999, 0.3337105020332919)","(0.33091272438725283, 0.33036951400954373)"
104,"(0.35832102711895586, 0.3553663682485322)","(0.2641898670409959, 0.2637720149544561)","(0.3535764987037894, 0.35155062832597583)","(0.3439089461625475, 0.3385107020040353)"
105,"(0.36290149692553686, 0.36008696782699856)","(0.37028694127294315, 0.3698547153313043)","(0.36012649521796225, 0.3562636929498645)","(0.3098344695747175, 0.30925137075044806)"
106,"(0.4393037515076833, 0.4313223030209359)","(0.3425389200232496, 0.3401556501470975)","(0.4358720585662177, 0.42779291531316577)","(0.4289974521727712, 0.4279356846523239)"
107,"(0.42044560158618993, 0.41672801814711535)","(0.36391878157646507, 0.36336577860912)","(0.41579281157559167, 0.41166245118428924)","(0.36057386356431587, 0.359730196216354)"
108,"(0.35008786112658974, 0.3462926898001738)","(0.31265102397971034, 0.31228117263060773)","(0.34401902929613115, 0.33985777636391357)","(0.343694095239542, 0.3391219899050873)"
109,"(0.42399577568321345, 0.4227594617038778)","(0.35585702884184434, 0.35190248707598504)","(0.41933872991343, 0.4167791751450316)","(0.4169800446878885, 0.3976544099231944)"
110,"(0.4151611976058134, 0.41447530576150315)","(0.3572593107548241, 0.35603133957415345)","(0.3976801856350356, 0.39608418226320374)","(0.4025478612664235, 0.4021199020868735)"
111,"(0.3355829860965497, 0.33329493805598176)","(0.2327344297977163, 0.23109298191240613)","(0.3330199251430803, 0.32831066958640776)","(0.33711349749156405, 0.3350458355928977)"
112,"(0.3671191647071278, 0.36191076965044966)","(0.377123070044033, 0.3748827995028001)","(0.366855620418, 0.35734358335797156)","(0.34559769794069284, 0.3446753810168425)"
113,"(0.38344209786393835, 0.3796552024629334)","(0.31745451473498476, 0.31583101778039147)","(0.3776494006466026, 0.3734854425230708)","(0.3237390712306706, 0.3222324956196781)"
114,"(0.36998200994417973, 0.36894948148017537)","(0.36238493859023524, 0.36063569012644925)","(0.35271230424131905, 0.35028958373567076)","(0.35955804484448195, 0.3580897476555199)"
115,"(0.3812461458510108, 0.3795762133619456)","(0.2871669606738373, 0.2862552371586412)","(0.3714737240525803, 0.3672307214376712)","(0.37797267510330657, 0.3756400273469255)"
116,"(0.3436938639754695, 0.3416236085860189)","(0.3706959499841098, 0.3687731184295625)","(0.3430903021959997, 0.336399047581181)","(0.3365978959453457, 0.3352663094842311)"
117,"(0.40301740998180247, 0.39419896890530604)","(0.3366684311194732, 0.3320759137898358)","(0.39831458312133106, 0.39029471460012555)","(0.3579617365540195, 0.3574881667522214)"
118,"(0.38594539203045974, 0.3746354401991959)","(0.3145831268767424, 0.31274831460253316)","(0.37625073313203916, 0.36317215903457956)","(0.3870967389605271, 0.3811499691513127)"
119,"(0.38151053721686834, 0.37718427296255264)","(0.2924281061292945, 0.2919172706940729)","(0.37740784864386956, 0.37343285701099505)","(0.3658819969822934, 0.3570503593952941)"
120,"(0.3782801323330197, 0.3714450090841521)","(0.3813901702106236, 0.3795603525827139)","(0.3721667833492859, 0.3664213703008323)","(0.3328382307792993, 0.33147017934975653)"
121,"(0.3867140402727335, 0.3801397236857723)","(0.39420876126956617, 0.3935112074918684)","(0.37691098194028594, 0.3731400075508926)","(0.34403515519673555, 0.3419730483994315)"
122,"(0.351473761433174, 0.350516767809504)","(0.30913640213677573, 0.30794255579920804)","(0.3309871593461081, 0.3270831144368226)","(0.33754711484831135, 0.3372271116564782)"
123,"(0.3517421378046286, 0.351008876440992)","(0.3392006980221065, 0.3387847246629334)","(0.34415530411292916, 0.34307548620051564)","(0.3533404591540136, 0.3529344167833598)"
124,"(0.394899900281254, 0.3908271532965861)","(0.36710874669534777, 0.36676691054884314)","(0.3831384624016315, 0.3811160919221689)","(0.3912614419366822, 0.3906849074415924)"
125,"(0.4006184330345488, 0.39882885717785477)","(0.31113333216036143, 0.3098107417486876)","(0.3938349209524713, 0.39131821163123526)","(0.3995158465048696, 0.3988465560040432)"
