,Row,Col,Sym,Diag
105,"(0.119220272627658, 0.11761763462568464)","(0.10299987306140812, 0.10266241408509946)","(0.11759422286208476, 0.11606608669400886)","(0.11907025120035308, 0.11896295803187688)"
106,"(0.1271886765997946, 0.12614735598227922)","(0.12051631009194463, 0.120192541082357)","(0.12327772973604456, 0.12229667799437682)","(0.12722827626063793, 0.1267138374001993)"
107,"(0.13573562933771, 0.1334430808442978)","(0.06930760366906863, 0.06916670584243922)","(0.13417602812981377, 0.13136732134276308)","(0.12095032607998346, 0.1181681292708481)"
108,"(0.12354269340333746, 0.12182244627480954)","(0.11193363800988032, 0.11182424121574785)","(0.1210548881055371, 0.12009104976235707)","(0.12315761942611847, 0.12238217167189282)"
109,"(0.13816869693541256, 0.1350242673144395)","(0.13551502924270264, 0.13509163972888338)","(0.1368510873823715, 0.13333607009091664)","(0.11977140257856278, 0.11924969726415827)"
110,"(0.16335172060548253, 0.16196054908918467)","(0.08336237070842079, 0.08285664716018892)","(0.15915179223192077, 0.15678752369691795)","(0.1622552219443124, 0.161648563722795)"
111,"(0.10556050931529293, 0.10539307479648985)","(0.09622984756646158, 0.09604616033635716)","(0.10266310200405704, 0.10229361802153081)","(0.10387942951121354, 0.10379374336040789)"
112,"(0.142740950318472, 0.14178251496227467)","(0.13954416324911334, 0.13908769636426843)","(0.13593226081288334, 0.13383615189177445)","(0.1265274437827394, 0.12532356604198125)"
113,"(0.13048782348977095, 0.1294581425786917)","(0.13157183410029238, 0.1309199224872467)","(0.12357517363669734, 0.12302382588693228)","(0.12611494482547492, 0.12570617661735117)"
114,"(0.11645625212205235, 0.11447249818924565)","(0.09852828417050585, 0.09826716109930644)","(0.11347714147034538, 0.11211115114442904)","(0.11578549195403165, 0.11440051109930949)"
115,"(0.13626368727287064, 0.13169151938753454)","(0.14182703745060465, 0.1415257612554507)","(0.13621198291109693, 0.1300999087726259)","(0.11974353451969955, 0.11936309146792226)"
116,"(0.1263285548229186, 0.12545761227651298)","(0.13530524034711167, 0.13443922866117652)","(0.1245315620975912, 0.12359777266100747)","(0.10585650116921586, 0.10429498663350385)"
117,"(0.10491144735698488, 0.10317229894617375)","(0.11305893460677297, 0.11253044208010543)","(0.10491144735698488, 0.10236027654038282)","(0.09671913731852977, 0.09535067059656424)"
118,"(0.12019857286255975, 0.1198235359297124)","(0.08949289345225875, 0.08928877348941688)","(0.11739398043612947, 0.11682099840955629)","(0.12215566481449225, 0.12153245713580398)"
119,"(0.1577691135152255, 0.15719330728733683)","(0.08536525046114196, 0.08483323863985437)","(0.15696456222584076, 0.15617828913887255)","(0.15864230353148345, 0.15822698918046363)"
120,"(0.13765775563599225, 0.13247204746441354)","(0.14274621443278113, 0.14227987102177186)","(0.13765775563599225, 0.13008767707224422)","(0.1316111353396351, 0.13145051731471188)"
121,"(0.13116348174831916, 0.1287008357533138)","(0.11995240012732689, 0.11951418210811715)","(0.1294092396612837, 0.1271844275661823)","(0.13495923906266738, 0.13373837823485032)"
122,"(0.15085595174935318, 0.14880482220151348)","(0.1117247892734835, 0.11126249960831325)","(0.14969148913935537, 0.14713196352400937)","(0.15512889045063005, 0.15382501418802513)"
123,"(0.14505230697424054, 0.14324497658147295)","(0.09308310796426489, 0.09230959310514741)","(0.14168880550194352, 0.14003982847608765)","(0.14241631777698804, 0.1422426782060184)"
124,"(0.12425679076040774, 0.11200531280472215)","(0.12871831741709416, 0.1284202063911727)","(0.12425679076040774, 0.11110691027810082)","(0.0885936734848054, 0.08735185527041929)"
125,"(0.1096682566314261, 0.10510987090606494)","(0.11732577701083857, 0.11702394825004858)","(0.1096682566314261, 0.10168837972372824)","(0.10391282123269385, 0.1032366096972046)"
126,"(0.12254264078927601, 0.11907105569998178)","(0.09761149349569231, 0.09729129230365474)","(0.1180466215681284, 0.11534412864521704)","(0.12474324524176506, 0.12265591627547748)"
127,"(0.1338433886774103, 0.13287373454331275)","(0.11898934027188013, 0.11836624084559788)","(0.13147018172792457, 0.13059480787074362)","(0.13688551420768325, 0.13618726723407787)"
128,"(0.1315961677778671, 0.13106129135924716)","(0.12960166538959716, 0.12886097846505895)","(0.12903059573974984, 0.12840602380120736)","(0.12824293085362726, 0.1280528446446188)"
129,"(0.14600239533750703, 0.14448435289351624)","(0.11245393744536669, 0.11203565954935324)","(0.14422650031443407, 0.14254006817216525)","(0.14678915578730944, 0.1459244634005837)"
130,"(0.1329378730524533, 0.13133995377447039)","(0.12331548018897431, 0.12321376751306523)","(0.13091635779281674, 0.12987221725748344)","(0.13311502997006752, 0.1329254763659874)"
131,"(0.15044728820014308, 0.14898099704913736)","(0.11755926614691314, 0.1169587459587359)","(0.14363611014450217, 0.14245192975497067)","(0.14751669776154064, 0.14721986146265778)"
132,"(0.12865556792872312, 0.12706366781275613)","(0.13047470584795184, 0.13007351323679572)","(0.12479308566771341, 0.12358887590899925)","(0.12883553487833177, 0.12844972971373583)"
133,"(0.12683537710147819, 0.125442933604743)","(0.11510695159103368, 0.11457679921133312)","(0.1202963803658369, 0.11857716446953137)","(0.09501873179319864, 0.09471318666764247)"
134,"(0.13519087259284202, 0.1333108440644304)","(0.0962725320519826, 0.0960963964484951)","(0.13160783775022233, 0.12953077951487002)","(0.1324116531793854, 0.13160293630445516)"
135,"(0.12552409704023737, 0.12473541394522425)","(0.08038430140939712, 0.07955704801153796)","(0.12334951608990241, 0.12226516387638886)","(0.1143334125098534, 0.11243208198907326)"
136,"(0.14307201319943474, 0.14097762420232318)","(0.13938095566551978, 0.13873911709643894)","(0.14043288214111604, 0.13729768223901007)","(0.14258457937284374, 0.14138558948961513)"
137,"(0.11351804230239926, 0.11260214902440457)","(0.09571901158262641, 0.095554323344893)","(0.11286983259531802, 0.11174558122429423)","(0.11487100621641244, 0.11466215161069178)"
138,"(0.12005007725371675, 0.118009944045524)","(0.09596381487278349, 0.09514763414446903)","(0.11584817546342674, 0.11396798829503485)","(0.11750994189454445, 0.11695470642931949)"
139,"(0.1259582197530109, 0.12475736706044027)","(0.12366358827099644, 0.12327330415506832)","(0.12360518413107946, 0.12237836187637785)","(0.10942664968147275, 0.10708248903750905)"
140,"(0.15524545560031722, 0.15285342665976254)","(0.1321882161717145, 0.13199880817175091)","(0.1534066092818227, 0.1512511278001184)","(0.15443646712980397, 0.1532150915809524)"
141,"(0.12535245293732433, 0.1236987199769426)","(0.08705535526411567, 0.08649368371521748)","(0.12063577924379776, 0.11919632078775522)","(0.12382783975268274, 0.12324505938492472)"
142,"(0.1340969668161982, 0.13315609640731596)","(0.10071191222983322, 0.10015958255318835)","(0.1300534138004612, 0.12936425231308468)","(0.13183242566474584, 0.13140130211989945)"
143,"(0.13439201062402983, 0.1321022354598541)","(0.09571533977525104, 0.09536723110420275)","(0.13029983931605182, 0.1267484664249765)","(0.13165333918072752, 0.1309487439423765)"
144,"(0.12866711234642736, 0.12781000347484717)","(0.11481599991256597, 0.11469206454331937)","(0.12519591057681523, 0.12392016939148165)","(0.12918609820002958, 0.12852277856193742)"
145,"(0.12676752866472651, 0.12569686644512124)","(0.12706227025040429, 0.12678519480357375)","(0.12508193356901498, 0.12389898473991245)","(0.12895457309211267, 0.12844558122794628)"
146,"(0.12125234786510708, 0.11967901043451801)","(0.1145313647765811, 0.11410608271637901)","(0.11650716068751155, 0.11527863590661103)","(0.11861322143620345, 0.11833009258761351)"
147,"(0.1179837384942809, 0.11708956305520779)","(0.11232546637317786, 0.11214576480810523)","(0.11538851494041102, 0.11463018087848498)","(0.09660414473791468, 0.09637571782119643)"
148,"(0.12158676243437672, 0.11610662175133046)","(0.11314736487451216, 0.11296024408947636)","(0.1192502344191918, 0.11243093512904245)","(0.12325828250301496, 0.11960242410861811)"
149,"(0.11958364156829693, 0.11886101165837748)","(0.12303799661497139, 0.1225706926087391)","(0.11904341797581919, 0.11827926525965315)","(0.1089264810445163, 0.1086401257164544)"
150,"(0.1399985273972435, 0.138904447397995)","(0.11607565485365678, 0.11563947705001887)","(0.1369559794573324, 0.13601938690895166)","(0.1386018613762946, 0.13812931805849468)"
151,"(0.14627732209203403, 0.13577262488863162)","(0.13515745506727872, 0.1341571435835106)","(0.14427084803842882, 0.13257597545547917)","(0.14622251573340705, 0.14317616368475333)"
